order,threshold,accuracy,f1,sensitivity,specificity,roc_auc,pr_auc,ece,false_acceptance_rate,false_rejection_rate,average_views,pct_requiring_six_views,median_latency_ms,p95_latency_ms
fixed,0.8,0.6442307692307693,0.6145833333333334,0.49166666666666664,0.8522727272727273,0.6956439393939394,0.769892553177083,0.31475976199458977,0.14772727272727273,0.5083333333333333,1.4615384615384615,0.019230769230769232,15.374250011518598,42.72826500528022
fixed,0.85,0.6538461538461539,0.6210526315789474,0.49166666666666664,0.875,0.7195075757575757,0.7834252168513105,0.3136406502917016,0.125,0.5083333333333333,1.5625,0.02403846153846154,16.420950007159263,45.169025013456114
fixed,0.9,0.6490384615384616,0.6137566137566137,0.48333333333333334,0.875,0.7375,0.7976118598330236,0.3246021446704706,0.125,0.5166666666666667,1.7115384615384615,0.04326923076923077,17.122549994383007,66.90128500049455
fixed,0.95,0.7067307692307693,0.683937823834197,0.55,0.9204545454545454,0.7726325757575757,0.8442081396356296,0.28003680468416764,0.07954545454545454,0.45,2.1490384615384617,0.11538461538461539,27.42354999645613,93.95428998104761
fixed,0.98,0.7596153846153846,0.75,0.625,0.9431818181818182,0.8211174242424243,0.8881232757847696,0.23799031742698856,0.056818181818181816,0.375,2.8653846153846154,0.2548076923076923,29.57184999831952,94.58246504364067
random,0.8,0.6826923076923077,0.67,0.5583333333333333,0.8522727272727273,0.7759469696969697,0.8384245708708808,0.28393060992389857,0.14772727272727273,0.44166666666666665,1.3846153846153846,0.004807692307692308,15.264699963154271,56.69442500511637
random,0.85,0.7067307692307693,0.6995073891625616,0.5916666666666667,0.8636363636363636,0.790530303030303,0.8511440976094266,0.27128789737672215,0.13636363636363635,0.4083333333333333,1.5,0.009615384615384616,15.805099974386394,58.50108498998449
random,0.9,0.7355769230769231,0.7342995169082125,0.6333333333333333,0.875,0.8115530303030303,0.8677120235141552,0.2508171583145742,0.125,0.36666666666666664,1.7259615384615385,0.03365384615384615,15.54650001344271,73.23256500822018
random,0.95,0.7788461538461539,0.7788461538461539,0.675,0.9204545454545454,0.8409090909090909,0.8903535524577073,0.21785398416800525,0.07954545454545454,0.325,1.9903846153846154,0.0625,14.3433999910485,82.44489495991722
random,0.98,0.8028846153846154,0.8056872037914693,0.7083333333333334,0.9318181818181818,0.8571022727272727,0.8934306749853447,0.19401528745322927,0.06818181818181818,0.2916666666666667,2.5384615384615383,0.14903846153846154,24.168150004697964,84.64183500036597
confidence,0.8,0.7163461538461539,0.7489361702127659,0.7333333333333333,0.6931818181818182,0.7776515151515152,0.8288550135924189,0.24173699348986613,0.3068181818181818,0.26666666666666666,1.3557692307692308,0.004807692307692308,13.387349987169728,41.88884002214761
confidence,0.85,0.7403846153846154,0.773109243697479,0.7666666666666667,0.7045454545454546,0.7922348484848485,0.8390683220921973,0.23074388408624757,0.29545454545454547,0.23333333333333334,1.4951923076923077,0.009615384615384616,14.139499980956316,52.53508498135487
confidence,0.9,0.7548076923076923,0.7829787234042553,0.7666666666666667,0.7386363636363636,0.8078598484848485,0.8489259215871516,0.22918413276891497,0.26136363636363635,0.23333333333333334,1.6490384615384615,0.028846153846153848,14.586050005163997,61.31326501490544
confidence,0.95,0.7932692307692307,0.8170212765957447,0.8,0.7840909090909091,0.8377840909090909,0.871555319525279,0.20631699111716634,0.2159090909090909,0.2,2.019230769230769,0.07692307692307693,16.541500022867694,86.41364500508642
confidence,0.98,0.8413461538461539,0.8619246861924686,0.8583333333333333,0.8181818181818182,0.8744318181818181,0.8962103495344931,0.16373994862452274,0.18181818181818182,0.14166666666666666,2.4711538461538463,0.13942307692307693,25.581000023521483,89.84766998328269
