corruption,severity,baseline_acc,camva_acc,baseline_drop,camva_drop
clean,0,0.9182692307692307,0.9663461538461539,0.0,0.0
gaussian_blur,1.0,0.9182692307692307,0.9663461538461539,0.0,0.0
gaussian_blur,3.0,0.9182692307692307,0.9711538461538461,0.0,-0.004807692307692291
gaussian_blur,6.0,0.9038461538461539,0.9615384615384616,0.014423076923076872,0.004807692307692291
motion_blur,5.0,0.9134615384615384,0.9711538461538461,0.004807692307692291,-0.004807692307692291
brightness,0.6,0.8653846153846154,0.9326923076923077,0.05288461538461531,0.033653846153846145
low_light,0.35,0.6153846153846154,0.7211538461538461,0.3028846153846153,0.2451923076923077
occlusion,0.2,0.8269230769230769,0.5817307692307693,0.09134615384615385,0.3846153846153846
occlusion,0.4,0.8221153846153846,0.7307692307692307,0.09615384615384615,0.23557692307692313
occlusion,0.6,0.8221153846153846,0.6826923076923077,0.09615384615384615,0.28365384615384615
jpeg,30.0,0.9134615384615384,0.9663461538461539,0.004807692307692291,0.0
rotation,15.0,0.875,0.8269230769230769,0.043269230769230727,0.13942307692307698
rotation,30.0,0.8076923076923077,0.7596153846153846,0.11057692307692302,0.20673076923076927
rotation,45.0,0.7403846153846154,0.7980769230769231,0.1778846153846153,0.16826923076923073
